========================================================
  UzMAX Local MVP -> http://127.0.0.1:5000
  Medicine AI + Robot Control (HAND/HEAD/MOVE)
========================================================
INFO:     127.0.0.1:49958 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:54138 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:56563 - "GET /api/ports HTTP/1.1" 200 OK
INFO:     127.0.0.1:52391 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:61665 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:65207 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:65207 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:65207 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:65207 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:65207 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:65207 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:65207 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:65207 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:65207 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:65207 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:65207 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:65207 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:65207 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:65207 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:65207 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:65207 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:65207 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:62637 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:62637 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:62637 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:62637 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:62637 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:62637 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:62637 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:62637 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:62637 - "POST /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:62637 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:51841 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:51841 - "POST /api/move/command HTTP/1.1" 200 OK
INFO:     127.0.0.1:51841 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:49428 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:64163 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:62074 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:57143 - "GET /api/robot/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:57918 - "GET /api/robot/status HTTP/1.1" 200 OK
